No,R,I,A,S,E,C,Group
12750,0.428,0.411,0.507,0.543,0.616,0.595,66
12751,0.428,0.43,0.614,0.522,0.417,0.467,24
12752,0.428,0.423,0.505,0.452,0.396,0.398,50
12753,0.428,0.304,0.721,0.633,0.519,0.478,24
12754,0.428,0.355,0.495,0.644,0.526,0.562,25
12755,0.428,0.717,0.754,0.242,0.383,0.42,34
12756,0.428,0.37,0.344,0.308,0.327,0.338,28
12757,0.428,0.506,0.393,0.641,0.901,0.71,48
12758,0.428,0.437,0.47,0.475,0.499,0.493,14
12759,0.428,0.561,0.566,0.612,0.528,0.469,14
12760,0.428,0.403,0.367,0.489,0.438,0.432,50
12761,0.428,0.447,0.429,0.339,0.44,0.409,50
12762,0.428,0.506,0.469,0.493,0.74,0.655,66
12763,0.428,0.454,0.625,0.483,0.496,0.653,14
12764,0.428,0.428,0.504,0.595,0.42,0.394,24
12765,0.428,0.42,0.571,0.606,0.549,0.462,14
12766,0.428,0.405,0.55,0.497,0.422,0.419,50
12767,0.428,0.363,0.62,0.612,0.497,0.529,25
12768,0.428,0.362,0.395,0.541,0.505,0.443,50
12769,0.428,0.568,0.344,0.629,0.611,0.49,14
12770,0.428,0.395,0.499,0.511,0.555,0.531,14
12771,0.428,0.447,0.526,0.505,0.586,0.51,14
12772,0.428,0.373,0.409,0.459,0.365,0.42,50
12773,0.428,0.564,0.405,0.622,0.421,0.513,14
12774,0.428,0.386,0.657,0.782,0.652,0.573,58
12775,0.428,0.386,0.414,0.53,0.605,0.473,14
12776,0.428,0.458,0.542,0.541,0.575,0.451,14
12777,0.428,0.302,0.509,0.485,0.507,0.727,40
12778,0.428,0.321,0.5,0.503,0.502,0.562,25
12779,0.428,0.483,0.381,0.362,0.328,0.365,28
12780,0.428,0.319,0.457,0.547,0.425,0.4,24
12781,0.428,0.531,0.619,0.632,0.549,0.472,14
12782,0.428,0.293,0.316,0.447,0.355,0.366,28
12783,0.428,0.374,0.296,0.315,0.303,0.375,28
12784,0.428,0.404,0.776,0.45,0.445,0.573,14
12785,0.428,0.411,0.509,0.488,0.426,0.43,50
12786,0.428,0.402,0.629,0.468,0.447,0.305,24
12787,0.428,0.342,0.557,0.511,0.532,0.413,24
12788,0.428,0.354,0.718,0.34,0.296,0.206,67
12789,0.428,0.453,0.416,0.496,0.42,0.439,50
12790,0.428,0.31,0.333,0.372,0.236,0.232,29
12791,0.428,0.532,0.293,0.458,0.612,0.575,5
12792,0.428,0.323,0.519,0.56,0.44,0.428,24
12793,0.428,0.471,0.465,0.406,0.371,0.421,50
12794,0.428,0.351,0.6,0.529,0.385,0.335,24
12795,0.428,0.404,0.724,0.757,0.563,0.552,60
12796,0.428,0.591,0.466,0.455,0.539,0.499,14
12797,0.428,0.354,0.546,0.566,0.461,0.362,24
12798,0.428,0.458,0.696,0.455,0.365,0.4,49
12799,0.428,0.409,0.475,0.612,0.517,0.463,14
12800,0.428,0.458,0.533,0.509,0.484,0.485,14
12801,0.428,0.529,0.751,0.668,0.564,0.523,60
12802,0.428,0.498,0.365,0.408,0.623,0.428,14
12803,0.428,0.495,0.624,0.562,0.457,0.375,24
12804,0.428,0.486,0.65,0.648,0.472,0.441,60
12805,0.428,0.336,0.26,0.189,0.353,0.261,29
12806,0.428,0.498,0.37,0.538,0.46,0.412,50
12807,0.428,0.655,0.335,0.457,0.589,0.751,55
12808,0.428,0.421,0.535,0.563,0.518,0.526,14
12809,0.428,0.522,0.394,0.51,0.604,0.36,14
12810,0.428,0.355,0.357,0.386,0.345,0.342,28
12811,0.428,0.424,0.585,0.584,0.426,0.407,24
12812,0.428,0.416,0.55,0.521,0.518,0.539,14
12813,0.428,0.38,0.401,0.546,0.443,0.431,50
12814,0.428,0.409,0.344,0.568,0.407,0.275,50
12815,0.428,0.372,0.413,0.454,0.488,0.456,50
12816,0.428,0.51,0.357,0.5,0.522,0.415,14
12817,0.428,0.547,0.517,0.488,0.509,0.497,14
12818,0.428,0.277,0.261,0.436,0.361,0.184,29
12819,0.428,0.459,0.712,0.5,0.527,0.533,14
12820,0.428,0.412,0.552,0.53,0.507,0.531,14
12821,0.428,0.407,0.579,0.575,0.46,0.487,24
12822,0.428,0.498,0.475,0.474,0.52,0.481,14
12823,0.428,0.474,0.836,0.696,0.516,0.489,60
12824,0.428,0.567,0.548,0.586,0.509,0.542,14
12825,0.428,0.481,0.687,0.623,0.572,0.604,66
12826,0.428,0.435,0.584,0.47,0.455,0.496,14
12827,0.428,0.408,0.56,0.528,0.477,0.462,14
12828,0.428,0.37,0.418,0.418,0.403,0.441,50
12829,0.428,0.639,0.514,0.461,0.616,0.518,55
12830,0.428,0.372,0.542,0.562,0.478,0.459,24
12831,0.428,0.337,0.62,0.713,0.64,0.578,58
12832,0.428,0.409,0.833,0.678,0.575,0.513,60
12833,0.428,0.47,0.525,0.546,0.458,0.442,14
12834,0.428,0.38,0.42,0.386,0.383,0.387,28
12835,0.428,0.404,0.59,0.548,0.472,0.505,14
12836,0.429,0.416,0.483,0.578,0.485,0.416,24
12837,0.429,0.347,0.528,0.612,0.467,0.539,25
12838,0.429,0.267,0.32,0.314,0.303,0.281,29
12839,0.429,0.447,0.528,0.552,0.446,0.463,14
12840,0.429,0.293,0.234,0.299,0.284,0.348,29
12841,0.429,0.347,0.391,0.432,0.332,0.353,28
12842,0.429,0.526,0.386,0.433,0.503,0.562,14
12843,0.429,0.325,0.362,0.41,0.298,0.278,28
12844,0.429,0.464,0.763,0.499,0.34,0.543,68
12845,0.429,0.308,0.266,0.417,0.276,0.28,29
12846,0.429,0.535,0.743,0.505,0.562,0.51,14
12847,0.429,0.428,0.447,0.477,0.462,0.422,50
12848,0.429,0.318,0.718,0.799,0.607,0.481,58
12849,0.429,0.528,0.779,0.662,0.686,0.675,70
12850,0.429,0.384,0.667,0.603,0.505,0.468,24
12851,0.429,0.451,0.465,0.601,0.558,0.46,14
12852,0.429,0.404,0.331,0.188,0.247,0.301,29
12853,0.429,0.253,0.54,0.518,0.385,0.299,15
12854,0.429,0.608,0.751,0.625,0.826,0.615,23
12855,0.429,0.452,0.599,0.563,0.503,0.493,14
12856,0.429,0.377,0.386,0.446,0.473,0.473,50
12857,0.429,0.408,0.346,0.388,0.422,0.408,50
12858,0.429,0.546,0.682,0.496,0.536,0.457,14
12859,0.429,0.453,0.566,0.541,0.513,0.484,14
12860,0.429,0.481,0.43,0.513,0.404,0.309,50
12861,0.429,0.424,0.917,0.684,0.575,0.551,60
12862,0.429,0.421,0.508,0.498,0.465,0.42,50
12863,0.429,0.466,0.504,0.548,0.55,0.493,14
12864,0.429,0.47,0.667,0.63,0.58,0.57,66
12865,0.429,0.429,0.759,0.729,0.649,0.435,60
12866,0.429,0.48,0.435,0.701,0.61,0.399,14
12867,0.429,0.147,0.702,0.389,0.188,0.17,4
12868,0.429,0.65,0.572,0.563,0.59,0.72,66
12869,0.429,0.41,0.549,0.621,0.471,0.494,14
12870,0.429,0.481,0.486,0.493,0.467,0.411,50
12871,0.429,0.439,0.787,0.319,0.335,0.635,68
12872,0.429,0.433,0.391,0.55,0.412,0.411,50
12873,0.429,0.793,0.536,0.478,0.481,0.533,55
12874,0.429,0.36,0.551,0.634,0.443,0.426,24
12875,0.429,0.382,0.734,0.619,0.507,0.547,60
12876,0.429,0.386,0.408,0.429,0.507,0.519,50
12877,0.429,0.47,0.51,0.527,0.444,0.432,50
12878,0.429,0.373,0.526,0.5,0.486,0.489,14
12879,0.429,0.375,0.401,0.444,0.413,0.398,50
12880,0.429,0.265,0.475,0.418,0.307,0.215,15
12881,0.429,0.44,0.565,0.435,0.339,0.359,50
12882,0.429,0.534,0.467,0.712,0.287,0.144,37
12883,0.429,0.381,0.616,0.636,0.503,0.42,24
12884,0.429,0.523,0.61,0.564,0.561,0.283,14
12885,0.429,0.441,0.465,0.366,0.481,0.445,50
12886,0.429,0.366,0.491,0.283,0.464,0.477,50
12887,0.429,0.521,0.452,0.385,0.461,0.428,50
12888,0.429,0.349,0.719,0.557,0.57,0.377,24
12889,0.429,0.517,0.501,0.633,0.485,0.437,14
12890,0.429,0.393,0.615,0.533,0.414,0.38,24
12891,0.429,0.242,0.587,0.522,0.37,0.288,15
12892,0.429,0.7,0.685,0.906,0.611,0.449,33
12893,0.429,0.802,0.194,0.471,0.46,0.415,17
12894,0.429,0.295,0.5,0.396,0.369,0.526,50
12895,0.429,0.39,0.642,0.547,0.419,0.402,24
12896,0.429,0.482,0.464,0.457,0.492,0.493,14
12897,0.429,0.44,0.474,0.442,0.398,0.449,50
12898,0.429,0.392,0.551,0.378,0.38,0.417,50
12899,0.429,0.443,0.804,0.705,0.435,0.273,71
12900,0.429,0.446,0.578,0.727,0.558,0.323,60
12901,0.429,0.532,0.497,0.467,0.453,0.395,50
12902,0.429,0.337,0.783,0.654,0.463,0.434,24
12903,0.429,0.469,0.542,0.484,0.5,0.459,14
12904,0.429,0.46,0.492,0.601,0.524,0.503,14
12905,0.429,0.4,0.423,0.434,0.403,0.468,50
12906,0.429,0.562,0.503,0.525,0.662,0.554,66
12907,0.429,0.372,0.484,0.338,0.476,0.493,50
12908,0.429,0.443,0.642,0.776,0.654,0.495,70
12909,0.429,0.535,0.612,0.533,0.572,0.527,14
12910,0.429,0.433,0.502,0.522,0.464,0.456,50
12911,0.429,0.279,0.416,0.434,0.443,0.368,50
12912,0.429,0.396,0.41,0.464,0.452,0.421,50
12913,0.429,0.385,0.591,0.457,0.353,0.39,50
12914,0.429,0.376,0.5,0.622,0.499,0.52,25
12915,0.429,0.511,0.337,0.449,0.389,0.424,50
12916,0.429,0.489,0.671,0.593,0.524,0.469,14
12917,0.429,0.43,0.587,0.558,0.613,0.652,66
12918,0.429,0.714,0.74,0.508,0.799,0.76,72
12919,0.429,0.46,0.679,0.744,0.546,0.419,60
12920,0.429,0.6,0.543,0.731,0.668,0.495,33
12921,0.429,0.346,0.548,0.507,0.44,0.362,24
12922,0.429,0.5,0.461,0.499,0.476,0.517,14
12923,0.429,0.355,0.42,0.45,0.437,0.462,50
12924,0.429,0.259,0.291,0.436,0.331,0.27,28
12925,0.429,0.472,0.458,0.464,0.53,0.561,14
12926,0.429,0.333,0.766,0.691,0.416,0.389,24
12927,0.429,0.605,0.787,0.421,0.38,0.346,65
12928,0.429,0.462,0.548,0.499,0.437,0.392,50
12929,0.429,0.335,0.358,0.426,0.339,0.417,28
12930,0.43,0.408,0.605,0.576,0.457,0.495,24
12931,0.43,0.475,0.632,0.646,0.513,0.554,14
12932,0.43,0.433,0.565,0.462,0.4,0.435,50
12933,0.43,0.531,0.597,0.416,0.398,0.498,50
12934,0.43,0.514,0.703,0.637,0.745,0.768,22
12935,0.43,0.382,0.34,0.428,0.397,0.386,28
12936,0.43,0.384,0.386,0.386,0.376,0.371,28
12937,0.43,0.768,0.275,0.221,0.174,0.297,2
12938,0.43,0.458,0.59,0.627,0.556,0.438,14
12939,0.43,0.377,0.648,0.551,0.43,0.393,24
12940,0.43,0.348,0.686,0.611,0.446,0.451,24
12941,0.43,0.463,0.509,0.482,0.435,0.438,50
12942,0.43,0.412,0.464,0.542,0.467,0.431,50
12943,0.43,0.419,0.41,0.394,0.365,0.373,28
12944,0.43,0.555,0.366,0.485,0.598,0.551,14
12945,0.43,0.368,0.728,0.446,0.378,0.249,49
12946,0.43,0.467,0.604,0.482,0.469,0.595,14
12947,0.43,0.357,0.517,0.562,0.392,0.372,24
12948,0.43,0.521,0.641,0.588,0.438,0.45,14
12949,0.43,0.391,0.528,0.674,0.492,0.486,24
12950,0.43,0.394,0.391,0.416,0.456,0.485,50
12951,0.43,0.312,0.314,0.358,0.366,0.231,28
12952,0.43,0.517,0.594,0.537,0.569,0.453,14
12953,0.43,0.445,0.51,0.491,0.473,0.424,50
12954,0.43,0.42,0.406,0.723,0.609,0.452,25
12955,0.43,0.192,0.237,0.197,0.364,0.276,29
12956,0.43,0.359,0.576,0.65,0.563,0.443,25
12957,0.43,0.371,0.577,0.404,0.379,0.343,50
12958,0.43,0.545,0.509,0.512,0.509,0.44,14
12959,0.43,0.31,0.225,0.294,0.299,0.195,29
12960,0.43,0.379,0.579,0.563,0.483,0.456,24
12961,0.43,0.437,0.449,0.454,0.49,0.427,50
12962,0.43,0.432,0.67,0.874,0.553,0.426,60
12963,0.43,0.505,0.603,0.675,0.657,0.781,22
12964,0.43,0.337,0.324,0.401,0.378,0.355,28
12965,0.43,0.462,0.5,0.681,0.587,0.699,66
12966,0.43,0.553,0.418,0.56,0.564,0.533,14
12967,0.43,0.503,0.55,0.39,0.411,0.396,50
12968,0.43,0.437,0.641,0.348,0.265,0.471,68
12969,0.43,0.541,0.548,0.483,0.425,0.472,14
12970,0.43,0.429,0.601,0.57,0.474,0.409,24
12971,0.43,0.282,0.478,0.441,0.329,0.341,15
12972,0.43,0.288,0.684,0.598,0.421,0.431,24
12973,0.43,0.491,0.741,0.655,0.868,0.772,22
12974,0.43,0.497,0.438,0.452,0.51,0.563,14
12975,0.43,0.217,0.412,0.52,0.39,0.201,15
12976,0.43,0.389,0.378,0.312,0.396,0.348,28
12977,0.43,0.356,0.429,0.517,0.431,0.359,50
12978,0.43,0.34,0.342,0.626,0.564,0.3,42
12979,0.43,0.547,0.505,0.484,0.357,0.556,50
12980,0.43,0.513,0.567,0.555,0.599,0.537,66
12981,0.43,0.527,0.488,0.422,0.482,0.471,14
12982,0.43,0.597,0.378,0.544,0.581,0.527,14
12983,0.43,0.432,0.544,0.508,0.481,0.492,14
12984,0.43,0.393,0.504,0.513,0.523,0.461,14
12985,0.43,0.44,0.515,0.586,0.567,0.518,14
12986,0.43,0.489,0.457,0.574,0.482,0.443,14
12987,0.43,0.453,0.367,0.412,0.326,0.248,28
12988,0.43,0.472,0.431,0.507,0.511,0.524,14
12989,0.43,0.483,0.368,0.399,0.558,0.37,50
12990,0.43,0.423,0.669,0.588,0.495,0.443,24
12991,0.43,0.537,0.337,0.298,0.25,0.236,2
12992,0.43,0.424,0.518,0.544,0.455,0.455,50
12993,0.43,0.598,0.576,0.734,0.366,0.294,65
12994,0.43,0.526,0.51,0.504,0.532,0.588,14
12995,0.43,0.497,0.472,0.487,0.413,0.43,50
12996,0.43,0.423,0.573,0.531,0.475,0.442,14
12997,0.43,0.616,0.9,0.712,0.74,0.724,23
12998,0.43,0.457,0.579,0.549,0.509,0.484,14
12999,0.43,0.35,0.373,0.53,0.374,0.359,15
13000,0.43,0.478,0.357,0.395,0.413,0.399,50
13001,0.43,0.399,0.391,0.482,0.454,0.496,50
13002,0.43,0.458,0.466,0.502,0.484,0.48,14
13003,0.43,0.598,0.768,0.786,0.757,0.488,70
13004,0.43,0.446,0.421,0.413,0.466,0.524,50
13005,0.43,0.619,0.528,0.415,0.504,0.46,14
13006,0.43,0.321,0.407,0.425,0.538,0.537,5
13007,0.43,0.375,0.609,0.559,0.39,0.441,24
13008,0.43,0.322,0.61,0.368,0.325,0.272,67
13009,0.43,0.338,0.457,0.641,0.399,0.426,24
13010,0.43,0.561,0.686,0.529,0.694,0.586,66
13011,0.43,0.459,0.735,0.725,0.434,0.389,60
13012,0.43,0.508,0.603,0.558,0.501,0.531,14
13013,0.43,0.418,0.301,0.413,0.362,0.378,28
13014,0.43,0.502,0.521,0.75,0.665,0.689,22
13015,0.43,0.376,0.442,0.357,0.261,0.275,28
13016,0.43,0.294,0.46,0.533,0.457,0.426,24
13017,0.43,0.574,0.456,0.252,0.455,0.463,18
13018,0.43,0.372,0.534,0.446,0.454,0.43,50
13019,0.43,0.219,0.218,0.606,0.269,0.2,35
13020,0.43,0.315,0.836,0.437,0.426,0.341,49
13021,0.43,0.59,0.57,0.494,0.482,0.457,14
13022,0.43,0.73,0.742,0.498,0.364,0.314,65
13023,0.43,0.452,0.854,0.717,0.618,0.6,70
13024,0.43,0.465,0.531,0.508,0.505,0.445,14
13025,0.431,0.457,0.407,0.577,0.455,0.575,14
13026,0.431,0.483,0.481,0.528,0.511,0.496,14
13027,0.431,0.424,0.522,0.478,0.408,0.402,50
13028,0.431,0.764,0.571,0.639,0.7,0.532,33
13029,0.431,0.414,0.561,0.498,0.524,0.513,14
13030,0.431,0.431,0.47,0.492,0.459,0.422,50
13031,0.431,0.388,0.489,0.464,0.362,0.355,50
13032,0.431,0.438,0.496,0.673,0.536,0.439,14
13033,0.431,0.429,0.61,0.822,0.58,0.704,70
13034,0.431,0.493,0.519,0.637,0.536,0.517,14
13035,0.431,0.517,0.607,0.694,0.596,0.453,60
13036,0.431,0.429,0.641,0.583,0.478,0.493,14
13037,0.431,0.356,0.532,0.452,0.347,0.412,50
13038,0.431,0.489,0.424,0.507,0.496,0.528,14
13039,0.431,0.417,0.592,0.469,0.447,0.44,50
13040,0.431,0.457,0.562,0.532,0.432,0.499,14
13041,0.431,0.379,0.429,0.366,0.376,0.356,28
13042,0.431,0.609,0.604,0.561,0.463,0.297,65
13043,0.431,0.365,0.266,0.337,0.329,0.283,28
13044,0.431,0.426,0.547,0.679,0.496,0.483,14
13045,0.431,0.29,0.732,0.519,0.427,0.49,24
13046,0.431,0.394,0.372,0.304,0.435,0.494,50
13047,0.431,0.642,0.77,0.742,0.369,0.422,65
13048,0.431,0.47,0.462,0.374,0.421,0.398,50
13049,0.431,0.457,0.558,0.541,0.531,0.457,14
13050,0.431,0.311,0.394,0.38,0.326,0.358,28
13051,0.431,0.542,0.638,0.614,0.52,0.492,14
13052,0.431,0.496,0.233,0.115,0.523,0.673,18
13053,0.431,0.459,0.711,0.73,0.52,0.441,60
13054,0.431,0.463,0.37,0.609,0.631,0.789,22
13055,0.431,0.412,0.511,0.429,0.388,0.415,50
13056,0.431,0.531,0.545,0.592,0.503,0.536,14
13057,0.431,0.448,0.546,0.565,0.47,0.447,14
13058,0.431,0.558,0.55,0.533,0.742,0.572,66
13059,0.431,0.445,0.624,0.581,0.5,0.42,14
13060,0.431,0.158,0.074,0.361,0.211,0.122,16
13061,0.431,0.532,0.377,0.53,0.539,0.498,14
13062,0.431,0.269,0.494,0.419,0.373,0.43,15
13063,0.431,0.501,0.618,0.581,0.549,0.518,14
13064,0.431,0.704,0.716,0.814,0.662,0.604,70
13065,0.431,0.416,0.322,0.235,0.279,0.353,28
13066,0.431,0.43,0.548,0.509,0.434,0.473,50
13067,0.431,0.445,0.502,0.415,0.434,0.417,50
13068,0.431,0.514,0.349,0.403,0.629,0.433,14
13069,0.431,0.497,0.421,0.431,0.474,0.499,14
13070,0.431,0.359,0.672,0.588,0.406,0.391,24
13071,0.431,0.395,0.505,0.66,0.455,0.393,24
13072,0.431,0.694,0.204,0.35,0.318,0.249,46
13073,0.431,0.573,0.41,0.467,0.468,0.462,14
13074,0.431,0.446,0.494,0.476,0.456,0.449,50
13075,0.431,0.432,0.327,0.476,0.453,0.445,50
13076,0.431,0.5,0.536,0.605,0.615,0.591,66
13077,0.431,0.417,0.552,0.612,0.537,0.44,14
13078,0.431,0.466,0.386,0.474,0.461,0.513,50
13079,0.431,0.466,0.553,0.522,0.337,0.518,50
13080,0.431,0.435,0.449,0.435,0.379,0.417,50
13081,0.431,0.529,0.559,0.676,0.654,0.537,66
13082,0.431,0.358,0.374,0.401,0.423,0.338,28
13083,0.431,0.477,0.482,0.526,0.521,0.481,14
13084,0.431,0.646,0.392,0.666,0.638,0.465,33
13085,0.431,0.494,0.533,0.664,0.671,0.54,66
13086,0.431,0.138,0.348,0.498,0.333,0.351,15
13087,0.431,0.192,0.309,0.13,0.455,0.561,6
13088,0.431,0.463,0.511,0.536,0.427,0.478,50
13089,0.431,0.539,0.626,0.663,0.509,0.407,60
13090,0.431,0.498,0.587,0.635,0.779,0.604,22
13091,0.431,0.552,0.369,0.58,0.424,0.407,50
13092,0.431,0.528,0.551,0.633,0.725,0.535,66
13093,0.431,0.391,0.304,0.354,0.348,0.328,28
13094,0.431,0.297,0.439,0.678,0.627,0.718,54
13095,0.431,0.461,0.625,0.6,0.607,0.582,66
13096,0.431,0.181,0.695,0.569,0.429,0.38,24
13097,0.431,0.472,0.433,0.662,0.611,0.562,66
13098,0.431,0.731,0.677,0.63,0.611,0.325,33
13099,0.431,0.476,0.599,0.547,0.524,0.497,14
13100,0.431,0.472,0.341,0.411,0.371,0.326,28
13101,0.431,0.457,0.61,0.767,0.82,0.731,22
13102,0.431,0.487,0.386,0.462,0.498,0.509,14
13103,0.431,0.373,0.515,0.61,0.44,0.688,40
13104,0.431,0.521,0.432,0.506,0.452,0.436,50
13105,0.431,0.458,0.399,0.439,0.46,0.487,50
13106,0.431,0.828,0.636,0.481,0.669,0.501,51
13107,0.431,0.565,0.638,0.676,0.674,0.459,70
13108,0.431,0.381,0.327,0.299,0.377,0.347,28
13109,0.431,0.46,0.583,0.615,0.491,0.545,14
13110,0.431,0.479,0.576,0.612,0.517,0.404,14
13111,0.431,0.621,0.541,0.495,0.442,0.356,14
13112,0.431,0.568,0.568,0.588,0.533,0.513,14
13113,0.431,0.497,0.174,0.302,0.424,0.367,28
13114,0.431,0.467,0.598,0.536,0.54,0.462,14
13115,0.431,0.399,0.566,0.625,0.48,0.477,24
13116,0.431,0.609,0.554,0.693,0.521,0.473,14
13117,0.431,0.388,0.59,0.532,0.513,0.48,14
13118,0.431,0.483,0.723,0.62,0.499,0.509,60
13119,0.431,0.427,0.485,0.495,0.404,0.354,50
13120,0.431,0.427,0.474,0.477,0.478,0.448,50
13121,0.431,0.704,0.515,0.556,0.23,0.352,37
13122,0.431,0.38,0.818,0.695,0.392,0.32,71
13123,0.431,0.406,0.488,0.492,0.557,0.56,14
13124,0.431,0.494,0.436,0.584,0.53,0.459,14
13125,0.431,0.399,0.736,0.56,0.395,0.34,49
13126,0.431,0.526,0.386,0.487,0.563,0.532,14
13127,0.431,0.528,0.28,0.606,0.456,0.459,14
13128,0.432,0.532,0.429,0.509,0.56,0.638,66
13129,0.432,0.372,0.612,0.567,0.452,0.377,24
13130,0.432,0.365,0.601,0.58,0.478,0.436,24
13131,0.432,0.367,0.456,0.347,0.456,0.345,50
13132,0.432,0.466,0.587,0.711,0.476,0.454,60
13133,0.432,0.579,0.501,0.613,0.464,0.429,14
13134,0.432,0.331,0.491,0.415,0.314,0.382,28
13135,0.432,0.28,0.62,0.664,0.515,0.457,24
13136,0.432,0.418,0.569,0.615,0.332,0.29,49
13137,0.432,0.481,0.573,0.566,0.483,0.458,14
13138,0.432,0.194,0.49,0.493,0.464,0.565,20
13139,0.432,0.527,0.676,0.548,0.54,0.514,14
13140,0.432,0.419,0.377,0.723,0.687,0.554,66
13141,0.432,0.681,0.441,0.625,0.446,0.545,14
13142,0.432,0.642,0.394,0.507,0.589,0.583,55
13143,0.432,0.368,0.572,0.492,0.414,0.423,50
13144,0.432,0.434,0.545,0.515,0.415,0.39,50
13145,0.432,0.381,0.48,0.466,0.415,0.463,50
13146,0.432,0.437,0.597,0.626,0.515,0.563,25
13147,0.432,0.804,0.652,0.613,0.587,0.448,33
13148,0.432,0.262,0.687,0.487,0.407,0.45,24
13149,0.432,0.453,0.579,0.507,0.496,0.484,14
13150,0.432,0.315,0.702,0.55,0.518,0.543,25
13151,0.432,0.564,0.321,0.475,0.523,0.462,14
13152,0.432,0.339,0.525,0.647,0.435,0.442,24
13153,0.432,0.425,0.545,0.54,0.509,0.505,14
13154,0.432,0.348,0.489,0.506,0.405,0.294,15
13155,0.432,0.428,0.531,0.555,0.521,0.488,14
13156,0.432,0.567,0.503,0.343,0.416,0.377,50
13157,0.432,0.445,0.706,0.722,0.493,0.456,60
13158,0.432,0.418,0.438,0.485,0.437,0.4,50
13159,0.432,0.412,0.315,0.369,0.481,0.661,5
13160,0.432,0.621,0.487,0.576,0.596,0.583,66
13161,0.432,0.418,0.314,0.463,0.543,0.316,50
13162,0.432,0.595,0.5,0.544,0.593,0.559,66
13163,0.432,0.274,0.819,0.799,0.355,0.254,71
13164,0.432,0.639,0.511,0.557,0.553,0.518,14
13165,0.432,0.812,0.439,0.634,0.601,0.484,33
13166,0.432,0.338,0.443,0.4,0.374,0.601,50
13167,0.432,0.646,0.42,0.58,0.485,0.436,14
13168,0.432,0.55,0.458,0.656,0.555,0.464,14
13169,0.432,0.418,0.587,0.411,0.364,0.411,50
13170,0.432,0.343,0.459,0.683,0.457,0.395,24
13171,0.432,0.376,0.727,0.569,0.508,0.799,40
13172,0.432,0.435,0.675,0.586,0.446,0.379,24
13173,0.432,0.359,0.433,0.362,0.384,0.379,28
13174,0.432,0.412,0.342,0.381,0.329,0.322,28
13175,0.432,0.385,0.498,0.577,0.573,0.596,25
13176,0.432,0.484,0.459,0.468,0.418,0.41,50
13177,0.432,0.484,0.672,0.605,0.551,0.555,14
13178,0.432,0.43,0.542,0.503,0.466,0.433,50
13179,0.432,0.651,0.651,0.565,0.511,0.447,14
13180,0.432,0.747,0.751,0.779,0.553,0.57,33
13181,0.432,0.393,0.5,0.466,0.37,0.279,15
13182,0.432,0.6,0.52,0.457,0.493,0.541,14
13183,0.432,0.465,0.588,0.533,0.343,0.305,49
13184,0.432,0.463,0.461,0.415,0.526,0.508,14
13185,0.432,0.392,0.666,0.546,0.617,0.522,25
13186,0.432,0.56,0.533,0.684,0.469,0.398,14
13187,0.432,0.444,0.561,0.655,0.552,0.478,14
13188,0.432,0.325,0.606,0.485,0.74,0.541,58
13189,0.432,0.631,0.335,0.465,0.518,0.483,14
13190,0.432,0.344,0.761,0.415,0.266,0.375,67
13191,0.432,0.398,0.397,0.39,0.495,0.522,50
13192,0.432,0.38,0.688,0.679,0.433,0.407,24
13193,0.432,0.321,0.237,0.406,0.417,0.34,28
13194,0.432,0.612,0.47,0.525,0.576,0.481,14
13195,0.432,0.461,0.438,0.462,0.519,0.554,14
13196,0.432,0.464,0.601,0.533,0.495,0.492,14
13197,0.432,0.437,0.634,0.607,0.429,0.408,24
13198,0.432,0.465,0.816,0.651,0.621,0.533,70
13199,0.432,0.409,0.384,0.403,0.364,0.404,28
13200,0.432,0.437,0.424,0.418,0.429,0.429,50
13201,0.432,0.53,0.518,0.54,0.562,0.524,14
13202,0.432,0.468,0.729,0.739,0.565,0.543,60
13203,0.432,0.531,0.476,0.45,0.359,0.334,50
13204,0.432,0.472,0.473,0.435,0.452,0.405,50
13205,0.432,0.365,0.624,0.651,0.449,0.408,24
13206,0.432,0.442,0.694,0.753,0.7,0.629,58
13207,0.432,0.441,0.744,0.6,0.482,0.528,60
13208,0.432,0.388,0.574,0.643,0.43,0.492,24
13209,0.432,0.635,0.408,0.526,0.688,0.656,63
13210,0.432,0.547,0.378,0.577,0.493,0.396,14
13211,0.432,0.407,0.661,0.452,0.3,0.339,49
13212,0.432,0.348,0.294,0.395,0.467,0.484,50
13213,0.432,0.446,0.509,0.524,0.458,0.475,14
13214,0.432,0.4,0.47,0.536,0.497,0.375,50
13215,0.432,0.504,0.259,0.341,0.634,0.318,11
13216,0.432,0.603,0.729,0.621,0.555,0.558,47
13217,0.432,0.398,0.478,0.579,0.503,0.446,14
13218,0.432,0.538,0.445,0.515,0.586,0.294,14
13219,0.432,0.372,0.574,0.634,0.586,0.534,25
13220,0.432,0.461,0.375,0.316,0.315,0.3,28
13221,0.432,0.54,0.549,0.535,0.688,0.342,45
13222,0.432,0.416,0.457,0.475,0.487,0.506,14
13223,0.432,0.295,0.679,0.571,0.563,0.634,25
13224,0.432,0.451,0.34,0.42,0.453,0.465,50
13225,0.432,0.427,0.601,0.564,0.394,0.4,24
13226,0.432,0.32,0.6,0.58,0.727,0.579,58
13227,0.432,0.401,0.501,0.468,0.433,0.429,50
13228,0.432,0.439,0.514,0.385,0.425,0.331,50
13229,0.432,0.51,0.541,0.552,0.436,0.349,50
13230,0.433,0.347,0.572,0.444,0.512,0.414,50
13231,0.433,0.476,0.527,0.365,0.397,0.419,50
